VR1,VR2,VR3,VR4,VR5,VR6
3.375027944147539927e+00,3.021979612674656313e+00,5.653108234571226909e+00,3.724131986589100496e+00,2.766996226106170909e+00,5.742069007425014249e+00
3.592737412812065934e+00,3.622053642851098765e+00,5.734490603749426541e+00,4.983120547319116689e+00,4.806183910171069940e+00,6.474012987897114435e+00
2.735862289038134776e+00,8.285435592540375538e-01,3.652789669464035605e+00,5.565246194974047711e+00,3.023255995051540967e+00,5.307452174041877413e+00
4.578816764769719327e+00,3.042572165065613454e+00,5.577947859683670018e+00,3.133844796663733945e+00,3.810649751129044471e+00,3.800436890502979281e+00
3.916916197699256585e+00,4.297420462399409224e+00,5.113935773073118973e+00,5.253760989559910222e+00,3.283915220423477166e+00,5.804401317162232843e+00
3.426492481381057331e+00,5.736385604116157388e+00,6.285111968287264261e+00,3.477249976219396466e+00,2.854478318718989271e+00,4.691602740796970927e+00
2.948382358358033084e+00,5.201658212966063566e+00,7.556509847186573481e+00,4.353805856188976087e+00,1.509142456638694174e+00,3.245609183058218328e+00
4.372592587345677018e+00,5.947230962329461690e+00,7.352938403546160018e+00,6.798588591616789856e+00,4.497250414396440910e+00,4.872397179744030637e+00
1.762358180101884386e+00,2.938592230256093618e+00,6.372169225404583415e+00,4.570607342446021626e+00,2.653367896123234537e+00,4.496886577025671627e+00
4.688298325061222904e+00,2.247350875926852787e+00,5.614599106949397012e+00,4.701063943992316752e+00,4.190558719361686002e+00,2.148199986308740428e+00
4.421640144927980742e+00,4.081699484603346306e+00,5.833844805787518517e+00,2.399103534317189368e+00,5.203532289783110443e-01,3.820475184229819465e+00
5.873718142436219480e+00,4.468708105932344132e+00,5.387530109577582493e+00,4.179512179467862687e+00,3.696630234249481450e+00,2.918806836160832585e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.859032045374021003e+00,4.127297622279868072e+00,5.988160651178948690e+00,4.709447772077021810e+00,2.342934486375876979e+00,1.828419371825004802e+00
4.481672042381376286e+00,4.320850484143785586e+00,1.991049283237603440e+00,3.621498731784643432e+00,1.895074476344914327e+00,4.516043446129594408e+00
4.261625298873431333e+00,5.807093824539741433e+00,2.371980930959843192e+00,3.870050948245598477e+00,5.049942487495480137e-01,3.139277382464402244e+00
4.011639767247984878e+00,5.918234493924747319e+00,3.058531130822910171e+00,6.160218302461505147e+00,3.248566695962342710e+00,3.922702254498541485e+00
2.388744099622723382e+00,4.890188784823936707e+00,3.627173028823859724e+00,5.302981042845773096e+00,2.847164372957188050e+00,4.436861619669741685e+00
3.255364592225187259e-01,5.396650787977262276e+00,6.392283907842825741e+00,3.572048755374931606e+00,2.601764649166223187e+00,5.175552244871091112e+00
1.419749018333920088e+00,1.087053861355758322e+00,6.979929882478288050e+00,1.656731315703446228e+00,3.880191776106017176e+00,3.813665192520032665e+00
3.690570929317125604e+00,1.168015335996199999e+00,6.159081143576966788e+00,2.053067570080178150e+00,8.010252206213226422e-01,3.276459263644587061e+00
3.430041287447964216e+00,3.591124864891444890e+00,5.190352926334490746e+00,5.640827163345499606e+00,2.752959673577328292e+00,5.148220167475767717e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.205608316117061207e-01,4.436580996457893278e+00,4.951360792032534874e+00,7.230258832672423530e+00,2.473665403474697211e+00,3.889769657961358096e+00
1.788209154614486041e+00,5.246067804799414702e+00,5.048790630624202969e+00,6.294624007629026075e+00,4.673443155438641305e+00,9.376267874911626166e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.163417712160899953e-01,4.622041709539908005e-01,7.022066084776080963e+00,2.944632240603827000e+00,2.203070987694025540e+00,2.458275542348530074e+00
