VR1,VR2,VR3,VR4,VR5,VR6
3.718540642811397845e+00,3.576392318901335354e+00,4.964689219175445700e+00,2.438531208388754035e+00,2.578995220418532686e+00,3.241743065973257565e+00
1.530441974700758045e-01,1.873003680618564148e+00,6.137227231120652604e+00,8.355178195159407295e-01,3.465209414877768790e+00,7.724050494279838475e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.443521161649146123e-01,1.027976971697606379e+00,3.177000204801063266e+00,3.926270343299037791e+00,5.263027373474406190e+00,4.848305753467498924e+00
2.458029928719296819e+00,5.036839682646952809e+00,4.305562943823540323e+00,4.205483568375810499e+00,3.359265268448991648e+00,3.435234903635512982e+00
1.093149078297093180e+00,4.187923434977803616e+00,4.672348958534350949e+00,2.552010928071247520e+00,1.359894267790846323e+00,3.765863800158297359e+00
3.371400450849307617e+00,4.446915373903178370e+00,3.431005319844774526e+00,3.164996722355029046e+00,7.086171726391028436e-01,3.107431893285812485e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.930044383515119533e+00,2.271157196255999988e+00,2.348408335245018019e+00,2.777824373952918702e+00,2.029080208826671505e+00,3.295233436250196490e+00
1.194651424413571306e+00,4.693905373670793857e+00,3.888553739017241551e+00,3.841227663630927047e+00,4.559426369603682971e+00,5.017683849970723031e+00
2.645222717229096521e+00,2.838795097557457403e+00,3.284782879102743358e+00,3.827334169537080388e+00,3.945592628706460658e+00,4.794912630850988400e+00
4.657804503042134669e+00,4.290913317592008447e+00,5.202657091784098853e+00,4.842080331471970034e+00,1.990813599903834330e+00,2.756502466749501057e+00
2.301938353802043924e+00,2.889674918811022231e+00,5.988330121346601587e+00,4.952300603914300936e+00,1.303855604833352722e+00,1.296292315770799064e+00
2.602346996408865909e+00,1.809213854108998820e+00,4.773895804369459483e+00,5.351176379325058186e+00,3.018004139051258861e+00,8.026340890330510014e-01
4.702736799754937635e+00,3.939029293756685757e+00,5.075947471224484531e+00,6.215777640480238730e+00,2.026914529159058453e+00,8.935674275283154167e-01
2.149961282272640606e+00,4.037367523666638647e+00,4.703417493837177332e+00,4.946019165167235165e+00,1.445473992554376697e+00,1.023554743311811954e+00
3.099997884229798384e+00,3.766036662947681357e+00,4.374372590842973807e+00,4.879214034283199553e+00,3.002981437685750876e+00,4.278232140520627169e+00
4.157516070861981383e+00,4.041857551220262579e+00,3.744201173915726599e+00,6.439440175189231397e+00,2.736909925575500946e+00,4.289213050170265440e+00
2.652887838399220488e+00,2.902698650176031236e+00,3.932377277424025319e+00,5.785046355877422108e+00,3.007921656926115794e+00,4.973753757603871506e+00
1.181589653821886188e+00,3.879478764634057608e+00,7.116468327298582253e+00,3.474875969637116313e+00,3.513873977674935034e+00,4.965077550218815361e+00
7.546732536001432567e-01,2.382392486452342695e-01,4.033011880861486986e+00,3.406375965525379357e+00,3.769903511300829457e+00,6.325968705142829052e+00
1.874926354018514374e+00,4.790909868670660821e-01,3.029005415955646541e+00,3.702829252971111984e+00,2.754692461847025431e+00,2.980914532901250968e+00
1.897285484582673432e+00,3.090433694203960968e+00,5.013864931351142751e+00,4.930432601915142321e+00,2.182998308775898622e+00,4.606327317642873176e+00
2.843143224642972200e+00,3.253860695343131937e+00,4.374321964258655271e+00,4.031033742200992975e+00,3.406341391290155673e+00,5.225918431549299470e+00
2.570317816076327588e+00,3.883257601419217497e+00,5.027884953198173967e+00,6.997097626678985272e+00,3.257978257531437105e+00,3.122045505774242891e+00
