VR1,VR2,VR3,VR4,VR5,VR6
3.299028783098070683e+00,2.328292152239511026e+00,7.976093724547645536e+00,5.256197478296035897e+00,3.582534248813103339e+00,4.187515763311329131e+00
1.846969372404474452e+00,2.121709330247437464e+00,4.904735671065370006e+00,3.251500377441593592e+00,3.211254797358106927e+00,4.545034105991099693e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.437809678355760568e+00,3.885481650397433206e+00,4.382912382677919716e+00,4.912131426970543835e+00,1.182957658546871293e+00,5.240777184011428780e+00
5.509859259618836269e+00,4.133592256451002811e+00,6.622989004467392249e+00,6.418720319627061244e+00,2.415959813040977178e+00,3.959986537614564206e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.758376716830157172e+00,1.490183898578198551e+00,2.951699284311286142e+00,4.484063421513495129e+00,1.414509339288587464e+00,4.083454083193181816e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.029369519670068733e+00,2.757194218091782112e+00,3.354363598669624746e+00,4.272059856662466792e+00,2.278847150122048859e+00,4.333826172063776738e+00
1.368800917088067504e+00,7.757065283921860122e-01,3.113816374934875064e+00,2.971112393052419698e+00,3.855722675452031289e-01,1.716544132134952161e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.462726563893956389e+00,3.349643207436825865e+00,3.640732824329597328e+00,4.697605695794667469e+00,1.585357258134729719e-01,2.798633814389459573e+00
2.294000203700153229e+00,2.996740487371916117e+00,4.297222132936743044e+00,5.030960485093284973e+00,6.827406852152604344e-01,2.816785639897956273e+00
2.819553010176683916e+00,1.933121775791210695e+00,2.281319722141729844e+00,3.029676760550046311e+00,1.770684728477345260e-02,3.417377980158370132e+00
2.380872790428381514e+00,2.835609594981097104e+00,3.641149108222034414e+00,3.054905942004962682e+00,1.645402710836478599e+00,5.154900471173594845e+00
2.936227669848898714e+00,2.133719637567801808e+00,4.305951685521471006e+00,4.006152582511063542e+00,2.613905659015728133e+00,4.606618562400528916e+00
2.203296853746214090e+00,3.054979950826081758e+00,6.805048906860099223e+00,4.366203187894345916e+00,3.787943057946305814e+00,3.319428597678586002e+00
1.875022555590837969e+00,4.500974492547133110e+00,8.371337147706043424e+00,4.469796493856060593e+00,4.757215294509298253e+00,6.662614150896338572e+00
1.687307117475482121e+00,4.941199183634206626e+00,6.481143907479011368e+00,6.726716373311715458e+00,5.422745934146758984e+00,5.122303768293113180e+00
4.610897721913316261e+00,4.603880528448367926e+00,4.910157711831714344e+00,4.445867960486756587e+00,4.731671182569939127e+00,4.579609462920661400e+00
2.690652361712493779e+00,1.559794776282923845e+00,5.213071902051367168e+00,5.761514126337121233e+00,3.143542558114614138e+00,2.137021269775872145e+00
2.953237168999917728e+00,2.949391512508387603e+00,5.410394183941313884e+00,4.919025085618031312e+00,3.955039843225463869e+00,4.785900209935548766e+00
3.840643486648994021e+00,3.103111112474968181e+00,5.174292405118444016e+00,4.862283346313144072e+00,2.680873183403975624e+00,3.629548989031312622e+00
1.755733740913242524e+00,4.888611493340328629e+00,4.432492245059411751e+00,5.596155053541775004e+00,2.557908711277712133e+00,4.012947636955209063e+00
1.993497017767407620e+00,2.785313251006836577e+00,4.124920680629478476e+00,6.006152941409030888e+00,3.403978237197239132e+00,4.685230561809802907e+00
1.065062691158198183e+00,6.670706948708913231e-01,1.840261545790669029e+00,3.245600484923277129e+00,1.158990412179030649e-01,1.865989585601718570e+00
2.642937081299839619e+00,2.394513456918813787e+00,1.772487147455672929e+00,2.367293762219879305e+00,1.427575206779088113e-01,2.692355715068753597e+00
3.290790371972964756e+00,3.165801532756384429e+00,1.355675513016515232e+00,4.207106973035930508e+00,5.510795029438382286e-01,3.864923435613781599e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.430845628967663874e+00,4.271829830612015932e+00,4.089095889691318320e+00,3.869901391994842399e+00,3.106795752173948433e+00,5.392652297780615278e+00
6.627656162236443826e-01,7.322434599747529305e-01,2.967145259696386539e+00,2.809738179549385428e+00,1.909808852261043466e+00,6.252304164757918059e-01
2.254121890095427183e+00,2.715792481726786445e+00,3.996619876748401801e+00,1.471747162953869648e+00,1.578567538111006696e+00,4.245614172074863468e+00
4.628699923066774247e+00,3.397883833653450036e+00,5.237043911738365587e+00,3.568630207827692580e+00,1.906361468312152807e+00,4.763799854416530088e+00
3.474896640265324965e+00,3.559840455009739113e+00,4.413456627404094057e+00,5.346957005875008662e+00,3.630767492848868905e+00,5.300655994741195975e+00
3.715211593590819206e-01,6.196232471683753573e-01,2.177462777224498325e+00,4.417482300332165046e+00,1.781829472118393820e+00,1.142586295613746028e+00
2.927921526222818649e+00,3.878753894562017024e+00,3.794667602032223641e+00,4.060056353389343897e+00,1.989598593201498122e+00,4.723771355053080434e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.981819664750446019e+00,5.376019484181854047e+00,4.200386087478936936e+00,4.378481377036614219e+00,2.654589644327247644e+00,4.632136359623685529e+00
3.208295190636163863e+00,4.097233065224054727e+00,3.667178560908231688e+00,5.906592869189408290e+00,2.869772754149772620e+00,5.430065117646389439e+00
5.731625331907146403e-01,2.907264944863055867e+00,3.398777208713014808e+00,4.813878212955553515e+00,7.417062868595358793e-01,2.756780170119939033e+00
2.306203919749429065e+00,3.294732247966116301e+00,4.313938007440323297e+00,2.784852589815787649e+00,1.890773878369084837e+00,4.740853671658757484e+00
3.228760495274864084e+00,2.487777789691006269e+00,3.597246237641410715e+00,4.082462000899261589e+00,1.711988425556187465e+00,3.517954301425491259e+00
3.509647875007478213e+00,2.777034431478615950e+00,4.118317777195870555e+00,5.304971267185150552e+00,1.272480648803089309e+00,3.372960320027317938e+00
2.023478670560463488e+00,2.130675389474940395e+00,4.574586403125139533e+00,4.301438020614067881e+00,2.437586353303426989e+00,3.368663872474513710e+00
3.365038211115117139e+00,3.905628439621487757e+00,5.595243272445484806e+00,3.496475039949540342e+00,4.079225733990661240e+00,6.029310747619913258e+00
3.091093566298519058e+00,2.651151245698073478e+00,6.357504563790813634e+00,3.690994505959662053e+00,3.400245910466427102e+00,2.746891529886791972e+00
2.939083004124323661e+00,3.028809874370392397e+00,5.674847552305167575e+00,4.909434943680311747e+00,4.716821537618463012e+00,6.853960085438628447e+00
2.765371929894022696e+00,3.154866166342066958e+00,6.101402394904755333e+00,5.054816269567957931e+00,5.502857835337396253e+00,5.612570950115683743e+00
9.229490677265548282e-01,3.767620461516199448e+00,6.055965583266495145e+00,6.394075185962885932e+00,6.079382199446963675e+00,6.745319022385173113e+00
3.022405084357946414e+00,2.643672583107422369e+00,6.867499768839352647e+00,5.569577943442745038e+00,4.309164061600973206e+00,4.261897041063809510e+00
2.320078047719027037e+00,3.152694786859846943e+00,5.311280460122270064e+00,6.126106070274251358e+00,4.631890820505826234e+00,4.409243168377876110e+00
2.587601698977569864e+00,2.882910020480392355e+00,6.363956618714947666e+00,6.238164273729022824e+00,4.095821548094019882e+00,3.540100405651156912e+00
1.252922237581969744e+00,2.701981555669137336e+00,5.458445220309142698e+00,3.320823443377722839e+00,4.251090310345031931e+00,4.431281347310666696e+00
3.550403265325011937e+00,2.902046269091015152e+00,6.051370739705312474e+00,4.689093379996759126e+00,4.641867449815416435e+00,4.445582363854199137e+00
3.378393422832215442e+00,4.304998302346220385e+00,5.543140394477485522e+00,5.122365328016739383e+00,5.298282975419290608e+00,4.837527804524982322e+00
3.067220519705393222e+00,4.142981946790396108e+00,6.111941377375353035e+00,5.760782042451492835e+00,5.234900860093954833e+00,5.227197830694533032e+00
2.265063643349328970e+00,3.237487746289654300e+00,6.675038665313234532e+00,5.803141445877631810e+00,4.619270996566166687e+00,4.102572948549751075e+00
2.042104630212705274e+00,3.234022941484990810e+00,6.933600796712322989e+00,6.880681938419089150e+00,5.080239747011694007e+00,6.656386457983324512e+00
2.892642782109029032e+00,4.235547035461436849e+00,6.609214070333424118e+00,5.849075065913179827e+00,4.411776968906320207e+00,5.744833428061205893e+00
1.993776815170219319e+00,2.567216488845618372e+00,4.516303027140991411e+00,3.511821086049125462e+00,1.307588973910577490e+00,3.614165300678111148e+00
3.941196878062255937e+00,3.909944521889496372e+00,4.145945898783098826e+00,4.200808382525387685e+00,3.596533829532885918e+00,4.882057454363478044e+00
1.309359490103467083e+00,4.146173630351900563e+00,4.810475233815893148e+00,4.813747947998189503e+00,3.074995982652846571e+00,3.987941205868342553e+00
1.365402241007702022e+00,2.285780019051328438e+00,4.299672765728663748e+00,5.089244237940151905e+00,2.237865492994314032e+00,1.856295746032317506e+00
