VR1,VR2,VR3,VR4,VR5,VR6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.943413960902002469e-01,1.513200684887437752e+00,5.905432615668765095e+00,5.500334289076076466e+00,5.245319362327487411e+00,5.783205084205201629e+00
1.604992123555846195e+00,2.624346117439342763e+00,4.520108342007285174e+00,5.977128008249056990e+00,2.909342218141384162e+00,6.961353125021073396e+00
2.763760275667941357e+00,4.277686081158798004e+00,6.200992433446221419e+00,5.003599919757824921e+00,3.228487639212103577e+00,5.202616156146399717e+00
6.228736269867323205e-01,4.256190229843303641e+00,5.699107003264865412e+00,3.809226893189962215e+00,4.648592893809477822e+00,4.761003068864888554e+00
2.851551916288181943e+00,6.549276618434662467e+00,5.127508425684760951e+00,1.135907965022799004e+00,3.125314186267742489e+00,3.403931970874859658e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.144258380767231298e+00,2.363634286021460973e+00,6.474859248447243587e+00,3.070107965046358522e+00,4.415209997414104137e+00,1.603116841584701469e+00
4.547834603431679668e+00,3.459807269046372369e+00,3.561011587379079746e+00,4.612792210906023982e+00,1.788151546829460870e+00,1.538114243119227176e+00
3.426470985466935737e+00,5.361286179790565321e+00,3.621925979712528054e+00,3.647738391411663894e+00,5.059554725381588902e+00,3.557813427558008001e+00
2.596628823088599436e+00,6.078989547418078843e+00,5.155380296261188988e+00,1.834696792170229074e+00,2.550062295016276792e+00,4.288990630761862377e+00
4.466792496175999716e+00,4.782577778687748804e+00,2.993048773955790054e+00,3.264593108881983952e+00,2.137884157312133659e+00,3.017757469357113642e+00
4.573167771064523990e+00,2.322253586485271359e+00,5.277911057182126164e+00,4.057177059261422691e+00,3.421874576004410251e+00,2.741284307613517157e+00
3.113628087699598979e+00,1.321675982944685801e+00,5.347073596411298091e+00,4.041970678187388977e+00,3.654310715406229093e+00,3.687843390706611491e+00
2.301432762463313075e+00,9.887195670320161334e-01,4.687196663735025304e+00,5.031637636289493898e+00,3.163542092499779468e+00,4.698750403468862302e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.640227910306634840e-01,3.246443485523240025e+00,6.775366944156356652e+00,6.269600303252938822e+00,4.839612552998875827e+00,6.586471034669369118e+00
2.726522613513153281e+00,2.285104541629791264e+00,2.715294492372590796e+00,3.502637308225119206e+00,2.485740667629001699e+00,4.553993675315429535e+00
2.649735935364583739e+00,4.666544325716291297e+00,4.063732982959804119e+00,1.994488859079905030e+00,4.285174142973075639e+00,3.486772032972483615e+00
3.883647010303888258e+00,6.610181770304904170e+00,5.415792142239378215e+00,2.042814811468882219e+00,2.284589545995886262e+00,4.462422694383755051e+00
1.008973017450790932e+00,4.610356362445675593e+00,3.677151587617756512e+00,2.212932095450423020e+00,3.021463539033052648e+00,2.872186639058135427e+00
3.148072060189905486e+00,6.505543378630943785e+00,4.382907211989956586e+00,2.942628248360056098e+00,4.066543825866613560e+00,2.042993822055630737e+00
1.931053679023676528e+00,4.846767220403124021e+00,7.125089410623116848e+00,2.160601779859613991e+00,3.853542435257405252e+00,2.768801847141503458e+00
3.049830572579408816e+00,4.778186442788253885e+00,5.754039380478986665e+00,5.954662463566045005e-01,3.122436460588250196e+00,3.083086629528767109e+00
5.332485115609765458e+00,3.774885504558312732e+00,5.086577887125544706e+00,1.478013231931419202e+00,5.750052677550694824e+00,3.282977460592228169e+00
1.029840338689180346e+00,4.229243677807638768e+00,5.008563176534987171e+00,1.389323670727744542e+00,3.768125880889816148e+00,1.945099389069716800e+00
3.453531068774183588e+00,1.631601009094615584e+00,4.456692363785575317e+00,1.596257802085498056e+00,3.902703937916043753e+00,1.283276612580605214e+00
3.784300672118650066e+00,5.314473137071916042e+00,4.966453384439807550e+00,8.859987724160602873e-01,3.805297484411680919e+00,3.682906470612889116e+00
1.519942888812007897e+00,3.594541628022937196e+00,3.688869155908573116e+00,1.295889385471345356e+00,1.839308650533172163e+00,2.714105775489148442e+00
5.164361377918182505e+00,3.542776452109515084e+00,5.967202931846346203e+00,1.781944904896131998e+00,4.807322558292585590e+00,3.139081557943143252e+00
2.852068004320824635e+00,5.178448208494243588e+00,6.719680673774332647e+00,8.488454311764002114e-01,4.385716996997652828e+00,4.743202442541054609e+00
1.884869031252732530e+00,2.049901540570994385e+00,3.774802773438446835e+00,3.040248274355431768e+00,1.903754912733604199e+00,4.566694918334857078e+00
3.688701964705792147e+00,1.011624330637967972e+00,6.930370063480043363e+00,5.643077868281054954e+00,5.388297377801716692e+00,5.304884653466102051e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.403948166430169842e-01,1.939646670984679355e+00,5.203922385599955014e+00,6.576252518546902515e+00,2.556069283558438876e+00,8.049414477745051144e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.113833223795648752e-01,4.973829933583844287e-01,4.439366713370699991e+00,7.675420658396313378e+00,4.121508210707833797e+00,8.474279183295312379e+00
1.949353607368609298e+00,4.055905290353244652e+00,5.144699008269848939e+00,7.270534357986139895e+00,2.916934720187649877e+00,6.121415917138719465e+00
3.549795046122135034e-01,2.117942261106285251e+00,5.480307494049609041e+00,6.712274309941385297e+00,2.646253170475213690e+00,4.299979748212597208e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.692474580062953038e-01,1.215865861111029567e-01,5.386404500344222690e+00,6.099496344617845622e+00,3.803406696391176567e+00,7.125670115667015025e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.142219384726165909e+00,8.549433593556376998e-01,4.874347775468758748e+00,8.519341495325168268e+00,3.573658788938097963e+00,7.866557632318357030e+00
3.897891975086320571e-01,1.529727734996005672e+00,5.213653319565779043e+00,7.104867369124267640e+00,4.697101360896128952e+00,6.907675379002595761e+00
8.849250323025885656e-01,1.225160488147588378e+00,4.662100830034513699e+00,8.352619064270843552e+00,3.933861071201638193e+00,8.895502750289214333e+00
7.825318181811438123e-01,1.993506476768675650e+00,3.577243027376285411e+00,8.564379009662921760e+00,2.540580210890611479e+00,6.327644921019193625e+00
1.563694802802406691e-01,1.148632947680661598e+00,6.716968974374526447e+00,6.184109835831136159e+00,4.847332090929607595e+00,5.613156500073232635e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.312561262175947041e+00,1.888885841058326021e+00,6.835505204193061957e+00,5.438768624414258568e+00,3.801529716374832724e+00,5.872767952333534325e+00
3.164057248851944060e+00,4.260383015112949145e+00,6.850592776425536101e+00,1.921441287562238642e+00,4.473917667350841398e+00,4.713285950745026653e+00
1.786781259805755973e+00,4.169238170639337326e+00,4.640234648334976342e+00,2.157744233375082477e+00,1.875297509870654133e+00,5.596341985553646481e+00
2.019930778560636853e+00,5.091374360216924799e+00,6.506756270992665847e+00,2.749391875385399420e+00,4.195033872092118088e+00,3.590564247665563258e+00
2.124964301427811453e+00,5.083983798803693333e+00,4.652168650730512667e+00,3.112307083172430655e+00,1.973148582779929106e+00,3.915301075308613044e+00
3.004470346925479873e+00,5.348948038451801779e+00,5.648173788743942936e+00,2.539378013405309442e+00,2.357820372680752286e+00,4.320171854801820643e+00
2.226522855059227091e+00,3.989276011902364694e+00,5.284695000997851722e+00,2.170087839371700689e+00,5.580732576312870563e+00,2.944690587430670803e+00
1.045195278717295562e+00,4.535891337487025332e+00,4.585245313116798727e+00,3.186520213067694840e+00,5.862917283279411862e-02,3.920762775965862090e+00
3.828045122336302786e+00,3.908789377944901666e+00,3.412537626529704937e+00,4.073318419938430246e+00,3.659602310393379021e+00,3.900435943962360597e+00
8.702386818502632071e-01,1.660382985661821520e+00,5.493520693161369373e+00,3.986620870700267272e+00,3.123707686960725205e+00,3.372290645356249783e+00
4.214455023474201312e+00,1.882462793972474957e+00,5.168607413547762874e+00,6.445920011070588984e+00,4.314032628513567502e+00,4.189903081333568480e+00
7.372260989320849056e-01,3.445031647050100787e+00,5.489336521857406836e+00,5.181636055232290872e+00,3.060274918553237633e+00,4.783805617162355084e+00
1.026154407435193150e+00,3.163830931231971455e+00,4.336126611627255656e+00,5.291798058318609499e+00,3.691812677752665195e+00,2.635211307202037112e+00
2.793465377043528264e+00,3.330891606572787822e+00,3.522997322702539957e+00,4.975632461712226728e+00,5.583835920875217518e-01,6.418074603019730873e+00
