VR1,VR2,VR3,VR4,VR5,VR6
3.214851392637514849e+00,3.674844764932041929e+00,5.633435572387744728e+00,3.782255458963884820e+00,3.818054815289736226e+00,3.695359472693332759e+00
2.998144505610659039e+00,3.634379205177805883e+00,3.795752073043247687e+00,4.336914425390467898e+00,3.978798269285134914e+00,2.804845163744069225e+00
2.735656746907985326e+00,2.980410430874780747e+00,5.069548245465103520e+00,4.405909683322256853e+00,2.142562557195698325e+00,3.187268539839754666e+00
3.893174698681145074e+00,2.363203956582394571e+00,5.431703049558611163e+00,4.032116596545463949e+00,3.340018451602730920e+00,4.458309310472704290e+00
4.418566686783961472e+00,1.940180802300754959e+00,5.533451956754440459e+00,4.288287219317221677e+00,2.580287502670683519e+00,4.517539442858089949e+00
2.648663233719604104e+00,2.389360380282935292e+00,3.554261550019051086e+00,4.835584850523870770e+00,2.905948504814796163e+00,3.527963480256587125e+00
3.150437517364117923e+00,1.893680330526863687e+00,4.175612886988088412e+00,3.111226531467231382e+00,2.437914740298726901e+00,4.422896712807652619e+00
2.621515731505225322e+00,2.418560231188607190e+00,4.518949611955574319e+00,4.007883868350232248e+00,4.469690374977215441e+00,3.260625790577716288e+00
3.061492287247191690e+00,3.861346141018522804e+00,4.888801509155553227e+00,3.720558305412397626e+00,4.426283971839615639e+00,2.421444839568188900e+00
4.205406264496499347e+00,4.033748045077627076e+00,1.865170661975967370e+00,4.268801189585228251e+00,4.338690395629413388e+00,1.694615134130814216e+00
3.677639305542628634e+00,3.942267360181959113e+00,2.931977395949671994e+00,4.933208927486158579e+00,3.694467449228944655e+00,3.133898259522566843e+00
2.483032681957284549e+00,2.769007476177648641e+00,5.010821037125422706e+00,3.921571531779100450e+00,2.817359975124719806e+00,3.744881049585980115e+00
3.689733084253838058e+00,3.083654134112610024e+00,3.374439529786451342e+00,5.803582921875297451e+00,3.047843107107582661e+00,3.788212691448156644e+00
2.424078035115651009e+00,4.123304494886517624e+00,4.141275525071406172e+00,4.573881177301834633e+00,2.489755300567397356e+00,4.576733296013450136e+00
2.880709089226936026e+00,2.167331739428567161e+00,6.535304175736355248e+00,3.537835650293565060e+00,2.426890277235082216e+00,4.281326820750107842e+00
3.093747634636129895e+00,2.802886725062730733e+00,2.780238624760692279e+00,4.285476356821267707e+00,3.758385421314636154e+00,4.036491782146393703e+00
2.966442552485076600e+00,2.603398369481831676e+00,5.266882513238624774e+00,2.962852985965948704e+00,2.873202000724982774e+00,4.697096246850287926e+00
1.513110359910496916e+00,2.640211870439332920e+00,5.953097627914901047e+00,4.512547727443978474e+00,4.043525344661039078e+00,4.270403505366593855e+00
2.473808364023451389e+00,3.490818986654064648e+00,5.238339877883457341e+00,3.921610803027784531e+00,3.202357477805747532e+00,4.683486930878656196e+00
2.346311781352840242e+00,3.580815006232285658e+00,4.433737113788229323e+00,4.789453334008646479e+00,3.101480812869936265e+00,4.313706650964472367e+00
3.027578958624043803e+00,3.036527201608218096e+00,5.248527054730279140e+00,4.140165753796642534e+00,2.835788904601402205e+00,4.414395935562009043e+00
2.839627887689318619e+00,2.984195680445151488e+00,4.219637674736191890e+00,5.459142737292717484e+00,2.835939406085608905e+00,4.497914043412555074e+00
3.109940942940882636e+00,2.938176283473917572e+00,5.443257500295747953e+00,5.030993598703623171e+00,1.459016597843950436e+00,5.408527777419481097e+00
3.778611845970351268e+00,2.845271713303432648e+00,6.197232270873062276e+00,4.310191467120403352e+00,1.250346067243603532e+00,5.340691531331334119e+00
3.691960836530653545e+00,3.221545416751967483e+00,6.404729134272752589e+00,5.677584580089359179e+00,2.405457851460188756e+00,5.073704511140245010e+00
3.155779315734795087e+00,2.711962443409210444e+00,5.268288254710785878e+00,4.220238748698651676e+00,2.143285538033728344e+00,4.495035467254627548e+00
3.071115441300500848e+00,3.420456434275758184e+00,6.373330953265431198e+00,4.055029037409685344e+00,2.969871287074530297e+00,3.874730809940634124e+00
1.984649279608130312e+00,2.206797555447568282e+00,4.666460946879259275e+00,4.545422665784591310e+00,2.859975467781684433e+00,2.592890311684168836e+00
1.181612492058390806e+00,2.477515566125414459e+00,5.380050281432080084e+00,2.711572624823368027e+00,3.453724210262416161e+00,4.016112634429847894e+00
2.199871019425491347e+00,1.698260223963357296e+00,4.616242694645402267e+00,3.861642291668806237e+00,4.052523998493753332e+00,4.695413071795487170e+00
1.155780960140117664e+00,3.493967109558409057e+00,6.589914888971861728e+00,3.201773880063846001e+00,3.665886694506599763e+00,4.345341032409512749e+00
1.940346032622871864e+00,1.848487495866193209e+00,6.677199815256076754e+00,2.889477454470317674e+00,3.209189541696438219e+00,4.208010865646270915e+00
1.999541183309735182e+00,3.516448320727449950e+00,5.171331781559480589e+00,4.054100541491339804e+00,3.396916372353396163e+00,4.065483369302159922e+00
2.342705601538082050e+00,2.883690064298533251e+00,4.846113465750052640e+00,3.702131931200655757e+00,3.231023961183108639e+00,3.847410956358900513e+00
1.917455672161797686e+00,2.711529273554369457e+00,4.742212977060555446e+00,4.651017091377175561e+00,4.163889231799203117e+00,3.377880259795152718e+00
1.585949578933120163e+00,1.287116312511093819e+00,6.638446351116688682e+00,2.244237042500417445e+00,3.153754635845221088e+00,3.733617455906683702e+00
9.167657952000467514e-01,3.050193761833089656e+00,3.638647681457703786e+00,5.074419147790308671e+00,5.035015106320914313e+00,3.296629563152028375e+00
1.247539076662292468e+00,3.650740152635290503e+00,4.694734597054670111e+00,3.333855711731983362e+00,4.403254972663047440e+00,4.158541095188677872e+00
1.227964351731695158e+00,2.604360700366718184e+00,4.872579090606319774e+00,3.484021271850647139e+00,3.310524129877771671e+00,4.423455476759952987e+00
3.263849493968299598e+00,3.528122952776080012e+00,4.601801289146880691e+00,2.828146351205504061e+00,3.691218361375552703e+00,3.966158962345919914e+00
2.320854262080511710e+00,2.409959294371986527e+00,4.214299276608674205e+00,3.495285490343196244e+00,2.899303424082204650e+00,4.090998950486285146e+00
2.815231485826211966e+00,3.148596890214674371e+00,5.492927959823799000e+00,3.449466365451657079e+00,3.750180408795800169e+00,4.614812457026595816e+00
1.522293485544736313e+00,3.062392217686010110e+00,4.714862616386745309e+00,5.128551173364543914e+00,4.219479259227857604e+00,4.242936061045020857e+00
9.020360663352000596e-01,3.789062571457513684e+00,5.097491384791803526e+00,4.350715671679765251e+00,2.892068946924920780e+00,4.169558736452082748e+00
2.826091278032743848e+00,2.443363555709207269e+00,5.964618462124130716e+00,3.062365049587523647e+00,2.974978407094530208e+00,3.757185668917230714e+00
3.418351003181789416e+00,2.471271993399474010e+00,3.428297882905436467e+00,4.532662070056686865e+00,3.527302498516633467e+00,4.254170124790175755e+00
2.657113184024785468e+00,3.269579397766393836e+00,4.678113824284659827e+00,3.846744744877317768e+00,2.541999520975797733e+00,4.418470084231750583e+00
2.451962892919269610e+00,2.699672776174193434e+00,5.211773506152891144e+00,3.267745444752963913e+00,3.396341855679320787e+00,3.564601978135316429e+00
3.328549834095190896e+00,2.490860932755215806e+00,4.584563613032827334e+00,3.941736469850757985e+00,3.796651154376341264e+00,4.171803136839192128e+00
3.423717901074383452e+00,3.453746506292620477e+00,4.401422393509803577e+00,5.626706786412318806e+00,3.426482427390575403e+00,3.659225859902305977e+00
