VR1,VR2,VR3,VR4,VR5,VR6
2.037201960036941983e+00,4.001900943636887753e+00,6.468059402801788593e+00,3.780946514445840290e+00,4.283772089477763778e+00,3.580983100731287561e+00
9.314513162936794988e-01,5.092699263005187049e+00,3.752501724130424599e+00,5.388055391767906599e+00,2.209847319494294027e+00,4.625219619265738658e+00
5.288326635553826094e-01,2.314660259526760022e+00,6.896802444585230063e+00,5.389711551019994218e+00,3.484913270635213500e+00,7.540398771601357630e+00
1.364872432956564685e+00,1.779581155346384502e+00,4.955531226352955620e+00,3.327525972483837968e+00,3.706754214597040686e+00,4.220727837091740042e+00
1.964183303961207105e+00,2.959554081173106255e+00,3.366223052927331594e+00,5.520311185551086020e+00,2.094733833368990439e+00,6.688618723482139039e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.902045858425921887e+00,1.179230561996484905e+00,5.991898836166218878e+00,6.747371296909835614e+00,7.160993655537026825e-01,4.872609280611055027e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.254963291253596402e+00,1.206243831107199682e+00,6.734476572364105351e+00,3.385539076161958150e+00,1.760744224039431982e+00,3.997488734389543996e+00
2.338878068539266053e+00,2.515942874042101707e+00,6.041704599732934611e+00,3.469730164785232773e+00,4.102195848164971181e+00,5.441551256020510152e+00
1.533325972930744019e+00,2.517145719817888594e+00,5.289317511828648399e+00,4.248777921276644776e+00,2.140969720296927115e+00,4.729976683352949074e+00
2.611936386980497904e+00,2.620995560425520843e+00,4.928240947144717055e+00,5.679239233547310306e+00,1.586376535890480888e+00,5.644710081842243987e+00
1.860314560601180167e+00,2.171256864601285308e+00,2.042808721226155200e+00,6.766636021066007700e+00,2.356030773895605002e+00,4.598115460548759081e+00
3.764110827392773473e+00,8.255847492408294741e-01,3.840186822734765304e+00,5.088842491529735668e+00,4.842554298513880084e+00,6.171633984432496334e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.927880850293125725e+00,2.201998627723604329e+00,7.984078702787143378e+00,2.863506417927687675e+00,2.923832988779605291e+00,4.686741626866150590e+00
1.719704538002304162e+00,4.672040974645705447e+00,4.974536966969512974e+00,5.205705874981283898e+00,2.747652913820709308e+00,3.165717898015140364e+00
3.067666408738456418e-01,1.798185792465137212e+00,4.845811849789189552e+00,5.869476322191081508e+00,1.964965396319981128e+00,4.438120895032883872e+00
2.500414279448122556e+00,2.456818978375251206e+00,4.450677950378332248e+00,8.969717577293319977e+00,6.282760910931730614e-01,6.038146350143970942e+00
2.729903805513038684e+00,2.850723656052948307e+00,5.204259800238332900e+00,6.961465279188471911e+00,1.517170436753775942e+00,6.820148403570829743e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
