VR,SS,ANX,INT
2.392022984150650178e+00,2.081926145702179376e+00,3.580253207406050464e+00,3.419377720555873523e+00
5.000000000000000000e+00,2.036318839065209829e+00,3.870610154998867625e+00,3.360341276274981581e+00
4.113115580434597796e+00,1.871594359127169982e+00,3.272141352585407947e+00,2.966829987967575022e+00
1.455221496198894737e+00,1.081139496525638899e+00,3.874500322077815362e+00,2.844153709116247430e+00
4.013970143421189185e+00,2.236613042381615735e+00,2.854514860647663799e+00,2.908764045917897612e+00
1.189671899583571779e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.056291274495334331e+00,3.612435463515060619e+00,3.093200771433577856e+00
3.119548646821143745e+00,2.467704119879876590e+00,2.929021833745469205e+00,2.899562587636785871e+00
4.370596829897896107e+00,3.412576900196226060e+00,3.876788183385304176e+00,3.063322879851985370e+00
3.761318016047431989e+00,3.031570458156445547e+00,4.548177599787100789e+00,2.815858565572099792e+00
5.000000000000000000e+00,1.275566204639224210e+00,3.926030778549489231e+00,2.937004715352402595e+00
4.756174643951569081e+00,1.123934725318115557e+00,3.759423832402970067e+00,3.072513081023757309e+00
3.405564888656847256e+00,1.657840477394078693e+00,3.441402369647472259e+00,2.625981976532212325e+00
1.849508021075406461e+00,2.035167373481234776e+00,2.897983587657056770e+00,2.831815449229987181e+00
5.000000000000000000e+00,1.816618011045104009e+00,3.203925158390501959e+00,2.655406269983012990e+00
4.999711714630200809e+00,2.353688985463395333e+00,4.388405791487383745e+00,2.921305806822778628e+00
5.000000000000000000e+00,2.605754274378444535e+00,3.222031731451599157e+00,2.823112302473883339e+00
5.000000000000000000e+00,2.317500377590231864e+00,3.431120244314077805e+00,3.434142928186918020e+00
3.501556809160804473e+00,2.045543758492044617e+00,3.647876314423652122e+00,3.347871382575419830e+00
4.202299142031925783e+00,1.226336048856544458e+00,3.232975466716588642e+00,2.750390132408501387e+00
3.855076957630219514e+00,1.031518618668131770e+00,3.971449221823927456e+00,2.742943358725720149e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.385278799503214309e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.647123768788458342e+00,1.212325356738372273e+00,3.176183349128599342e+00,2.828190465503850781e+00
3.979837714320364483e+00,1.139087033261204418e+00,2.966847117504424425e+00,3.006995733022179706e+00
3.416150922424050496e+00,1.775771140573535911e+00,3.060213534867461505e+00,3.417450263524379750e+00
3.841964977508013579e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.379507469429175792e+00,1.441475383531624743e+00,3.151089629919338719e+00,3.016376553463739008e+00
3.458062911861772282e+00,1.154095344431866010e+00,3.564096641564025614e+00,3.191428324002606232e+00
4.326803109556301763e+00,1.753672564671812761e+00,3.528116152784337878e+00,2.752096370300744610e+00
1.594028261334409002e+00,2.215488755580949487e+00,2.947452770313661929e+00,3.147928298607021169e+00
3.734073827660632450e+00,1.777768488635986355e+00,2.775922801997839251e+00,3.515390541181261153e+00
2.687289698012307326e+00,1.798530845396431710e+00,3.102505843299051769e+00,3.104696549143812323e+00
1.534681473258527440e+00,3.230652860889191569e+00,2.476516873404223773e+00,2.947073746707423947e+00
4.457359562712247758e+00,2.080412120113080743e+00,3.653640464467106330e+00,3.337977082950428276e+00
4.877391275533103254e+00,2.539591162985637141e+00,4.029476426792139243e+00,3.420070338998588699e+00
3.674673941306644487e+00,2.706235715827597588e+00,4.038237582957628469e+00,3.779100321487124159e+00
3.690896485030173757e+00,3.310495832506158642e+00,4.827818419048884202e+00,3.018698084952732064e+00
4.158977079561634760e+00,3.309156117849904710e+00,4.944759824391280922e+00,3.151609892772115895e+00
2.639073633966810828e+00,3.609239289565947306e+00,4.335666268235303988e+00,2.928273723835820519e+00
1.536405095479340677e+00,3.391680640267127345e+00,4.451720762618394112e+00,3.192592518111974531e+00
4.136309142453868049e+00,2.179458985705315932e+00,4.831394732938190550e+00,3.011502982009888196e+00
2.441483331707198445e+00,2.371805038571987545e+00,3.934622107203590069e+00,2.818171301951535312e+00
3.257206005117863068e+00,1.957207359911408817e+00,4.241983141002354074e+00,3.381863830383044167e+00
4.253224133988064537e+00,2.031752354429877450e+00,3.943769769387157176e+00,3.179653727104819083e+00
3.804580608663257202e+00,1.118723450160487909e+00,3.108484934712112846e+00,2.533823647494503728e+00
2.059328285413774662e+00,1.474833506184578535e+00,3.144909739351209765e+00,3.163951607731976257e+00
3.439111881429853579e+00,1.253880592933594329e+00,3.488859634374025021e+00,3.088403533157316971e+00
4.881807061485551991e+00,1.902175515299877384e+00,3.548491748683506586e+00,3.531120180936013764e+00
5.000000000000000000e+00,1.142574203561815605e+00,3.579375179966120868e+00,3.224127869612360531e+00
5.000000000000000000e+00,2.478058154907514243e+00,3.503913337975556708e+00,3.532311106699829395e+00
2.178155480986676551e+00,1.923864046600137323e+00,3.864481278267656972e+00,3.375182985633919497e+00
1.125762149429377690e+00,1.101832266506557634e+00,3.825141564855337073e+00,3.016670735125042579e+00
2.719634600680449488e+00,1.483974607847851068e+00,2.971651158738991771e+00,2.642414468237960001e+00
3.492669758898196086e+00,1.923701908847647468e+00,2.577483829149223915e+00,1.997612568079524920e+00
2.204193566365558077e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.171598586185853108e+00,1.725816246226522743e+00,3.653693322699360646e+00,3.085073056365607691e+00
4.077153261859240985e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.120717069416358402e+00,1.054531794538267508e+00,3.256467652088768983e+00,2.392332867188590839e+00
1.245785626462164064e+00,1.725656620377832517e+00,2.990866407491104439e+00,3.672726404121160471e+00
3.385528906964109908e+00,1.891957291479915870e+00,3.279584108384185015e+00,2.781140261961220883e+00
3.487691527952552661e+00,1.670147113221131407e+00,3.657150595967328943e+00,2.975562597034028034e+00
4.449019781778309479e+00,2.010370640192431946e+00,3.776786571491382194e+00,3.202079550951604681e+00
3.352737952076592087e+00,2.432551812933422930e+00,3.156678382341500111e+00,2.780540580146790397e+00
3.137375866234704880e+00,2.446797746316753397e+00,3.585232473907428385e+00,2.899675807650059944e+00
2.878401397750658841e+00,1.404554835059357076e+00,3.830963421535478197e+00,3.243063424992978838e+00
