VR,SS,ANX,INT
1.274334302587479151e+00,1.166170375434062656e+00,3.823776361249363376e+00,3.208832077909383518e+00
3.942224536061824658e-01,1.323302424285401457e+00,3.041165018715360269e+00,2.688762870359750146e+00
2.614532631299622878e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.614827274366785081e+00,1.291807852792555167e+00,3.396398335856468886e+00,2.435292424546069423e+00
2.308500089227568886e+00,2.019820387084612090e+00,3.181721390463860821e+00,3.172721486366560040e+00
1.234041084574786895e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.119176333136684853e+00,1.096048505165931664e+00,3.444317251515469192e+00,2.893774821097140126e+00
1.502174743690202874e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.825511617479747883e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.680393663536252857e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.459234624285323800e+00,1.993783476783153485e+00,3.633348936088647285e+00,3.151505453509887200e+00
5.636313367399700125e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.324941467685881058e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.186747533594887827e+00,1.625837093575777770e+00,3.312673474620619452e+00,2.528831861484354793e+00
2.433049723096697647e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.997847832796731060e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.798881055997997747e+00,1.113807558027927413e+00,3.729266708385670093e+00,2.743254219192828636e+00
2.259245118904418703e+00,2.146299409571432726e+00,3.234781278144962080e+00,3.185425560968553782e+00
1.607770006471761493e+00,1.405855112826098097e+00,3.125753501409492152e+00,3.004865690972163605e+00
7.090538841724802754e-01,1.455297581133291773e+00,3.151043207625838338e+00,1.707115981686574413e+00
1.022240630174281684e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.162996667621459146e+00,1.168286194063907546e+00,4.430400165278530977e+00,2.428520325040913974e+00
1.611723443803299238e+00,1.543008552950571488e+00,3.455504235178750161e+00,2.258749855008851171e+00
1.739303795987137580e+00,2.473875956080441085e+00,3.658334959326037250e+00,3.282594490041851998e+00
2.243631668558488279e+00,1.251521071712994759e+00,2.838317350957459517e+00,2.186326334137786098e+00
2.830771716488336143e+00,2.191376357088332671e+00,2.826433624106649667e+00,3.035010594783150051e+00
1.735783310637467602e+00,2.529351174091476473e+00,2.985670751269975387e+00,2.861254916450830521e+00
1.295288873989171696e+00,1.998993575989971294e+00,3.155085134265691593e+00,2.834952831054394995e+00
1.688603616782721861e+00,1.838205319404505156e+00,2.706844241183271382e+00,3.601321248135927355e+00
3.724909309059267759e-01,1.455349293961309964e+00,4.184324754696806536e+00,2.822105960016122239e+00
2.869786384502072352e+00,1.304751694699425535e+00,4.001322949170846854e+00,2.901414468866404306e+00
4.813812976017741718e-01,1.461834174557833599e+00,3.481895497983581667e+00,2.070570725624663488e+00
2.582375980398929904e+00,1.215469156183669686e+00,2.717619874039753025e+00,3.015235996863448786e+00
2.296664466024956219e+00,1.477265280491797839e+00,3.478956918151230759e+00,3.283894136472362391e+00
2.181357609084174864e+00,1.082929242085351795e+00,3.323086953444961189e+00,2.776570075845457009e+00
