VR,SS,ANX,INT
3.920782246114689062e+00,1.065391257718583784e+00,3.172504346187509316e+00,3.567039025781941319e+00
4.288954098526660985e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.960629229705660226e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.405947230530583347e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.783009363611967046e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.905598558513577068e+00,1.460754841815603555e+00,3.303156071748797995e+00,3.448845271831070480e+00
4.253587134191056052e+00,1.203426898848965587e+00,3.582964146103303271e+00,2.927665100603117576e+00
2.498922850264595930e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.936322294136789690e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.669318468734600991e+00,1.106090060630691818e+00,2.661267261384913319e+00,3.284447269927179835e+00
1.455769367542805393e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.490378429666488369e+00,1.365230863605551015e+00,2.090719779864173233e+00,2.975191875886538106e+00
5.000000000000000000e+00,1.187674110826924201e+00,3.081297774065180128e+00,2.253808080968783933e+00
3.354546272357494807e+00,1.302209145392879686e+00,1.329959821730265723e+00,3.460391483421884296e+00
1.775092298343767361e+00,1.033707655721036733e+00,2.405348732983046744e+00,2.718808627885817675e+00
1.620045007298541062e+00,1.021517904589220427e+00,2.578159382499965346e+00,3.730641322281948558e+00
5.000000000000000000e+00,1.142812172663469017e+00,2.555850811255414801e+00,2.698174049076626169e+00
4.416006057547088304e+00,1.314802269944697066e+00,1.892765511443247561e+00,2.960104669723036430e+00
3.995057140392376915e+00,1.230763886753045711e+00,2.711959132253074944e+00,3.299773485448117327e+00
5.000000000000000000e+00,1.047641146308776028e+00,3.918269400279560610e+00,4.235184287554444538e+00
1.112529309415934531e+00,1.081376904778722281e+00,4.181690999837101685e+00,2.519683135706725086e+00
3.854230510681481370e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.255578522266850516e+00,1.044529218867796372e+00,3.943076975064843559e+00,3.681956102354381422e+00
5.000000000000000000e+00,1.248731080270609972e+00,3.767866687255176927e+00,3.411773169497143599e+00
5.000000000000000000e+00,1.095726711265609499e+00,3.566116136651260149e+00,2.859188986400467147e+00
3.686233622457666836e+00,1.067426937454426739e+00,1.944532337982469272e+00,3.328614121449048557e+00
4.350634280821305211e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.589061793592985161e+00,1.012841850667862476e+00,2.195543725125689072e+00,3.252686860297663518e+00
1.730761555108788041e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
