VR,SS,ANX,INT
1.712871702209960212e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.840021682759021004e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.527638939893320114e+00,1.354165445169930981e+00,3.701455937989863720e+00,3.693454493560446750e+00
1.858917640883439804e+00,1.146302337673424043e+00,2.438435213175776717e+00,2.887274590741692570e+00
3.164398671965340082e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.451594240123019075e+00,1.453629469136993535e+00,2.005391337348616076e+00,2.398672125356426044e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.074843096453599323e+00,1.231107429760344374e+00,3.878769042677599366e+00,2.138858286089995620e+00
2.153601069590588946e+00,1.391488563741043682e+00,2.903004994154905649e+00,2.398694489760551996e+00
2.618519328213312569e+00,1.309159619878085934e+00,3.037773459840899193e+00,3.332142192410167514e+00
2.614144632349483910e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.641269476879639200e+00,1.475151343452464126e+00,1.851775995822483534e+00,3.029792411111492445e+00
3.018560889520856882e+00,1.047310640549075966e+00,3.039477164597657932e+00,3.430913307586407779e+00
1.590484848046112232e+00,1.276572840156324551e+00,3.463773439929740849e+00,2.903641983066167942e+00
3.398983776476066421e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.682789744748321326e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.905688678702116334e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.084388139669389295e+00,2.361842898864996432e+00,2.961008172555264828e+00
3.483626838697174932e+00,1.306143582710749262e+00,3.617965288095915888e+00,2.857486311209121776e+00
2.620339239293886457e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.744495239471487658e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.874919473379847545e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
