VR,SS,ANX,INT
4.900335615933537170e+00,1.220899574957139855e+00,2.226727103203529623e+00,1.587990167543398057e+00
5.000000000000000000e+00,1.916614192184715515e+00,4.343974952788405730e+00,2.147004533116925185e+00
4.702670204559534106e+00,2.355065884025521861e+00,3.104435916979216614e+00,1.391878778661760574e+00
4.864576739360509272e+00,2.138012275981124866e+00,2.093634867900437069e+00,1.709425682794112777e+00
4.662804034405220399e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.599200796285070725e+00,2.348193604080508923e+00,1.475567028918793655e+00
4.515276523311541723e+00,2.261366192024300226e+00,2.646037623444721376e+00,1.648073402175999735e+00
4.396828385006774198e+00,1.826117662837454025e+00,2.516953782278485985e+00,2.010386536613079755e+00
5.000000000000000000e+00,1.248677695066897853e+00,1.216038608374347518e+00,2.077394100805603383e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.914986299718843377e+00,1.355179412168606490e+00,1.647304737433357147e+00,1.863666919913205655e+00
5.000000000000000000e+00,1.028573128233077227e+00,3.040363060934098360e+00,2.000042370370051614e+00
4.989390032650449669e+00,1.767775550326752931e+00,3.141436304346792330e+00,1.289971711550921274e+00
5.000000000000000000e+00,1.620942184061296754e+00,3.701144548209847507e+00,1.561735431269688723e+00
5.000000000000000000e+00,1.809890181155633604e+00,2.783699867141506523e+00,1.880094096416901062e+00
5.000000000000000000e+00,1.077451109306970300e+00,2.750834550636156006e+00,2.409336622466808464e+00
4.568306643789605381e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.354923292759809605e+00,1.051287302314916072e+00,1.789414833378871528e+00,1.702899257020774382e+00
4.544266972933114879e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.038694694274560515e+00,3.667723564987287688e+00,2.311668288125334758e+00
5.000000000000000000e+00,1.156619720547369168e+00,3.457219752861776740e+00,1.922770604020595187e+00
5.000000000000000000e+00,1.335205055542979302e+00,2.833245580498343852e+00,1.722758539991607218e+00
3.988666730918283498e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.833535054748858251e+00,1.304912009670233797e+00,2.466259087461808441e+00,1.546874876211305594e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.127541633435447999e+00,1.053726879957443963e+00,1.373783762664839259e+00,1.984396864082984546e+00
5.000000000000000000e+00,1.217536966935037546e+00,3.110044078652197452e+00,1.705758828200797383e+00
4.569591121126656219e+00,1.730013680482951788e+00,1.884044424828439146e+00,2.265904100667125665e+00
5.000000000000000000e+00,2.863878367089787602e+00,1.179525941001230649e+00,1.303978296582775531e+00
5.000000000000000000e+00,1.740350991279982384e+00,2.228190745376963822e+00,2.184422690311128346e+00
5.000000000000000000e+00,2.114097467176995870e+00,2.176116595046116320e+00,1.329351085117044473e+00
4.766190630993187405e+00,1.388498327980665970e+00,1.311693375280903462e+00,2.120136474998616904e+00
5.000000000000000000e+00,1.650415896443216068e+00,1.705321115543149801e+00,2.310003307068019929e+00
4.192952003943867467e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.490569742875035519e+00,3.452211240104746004e+00,2.033576362328761711e+00
4.579020884412800640e+00,2.124260639220190150e+00,2.305720487538256425e+00,1.501942689081490201e+00
4.643273978305662020e+00,1.040379326604621957e+00,2.943607461332638842e+00,2.140497708265521659e+00
5.000000000000000000e+00,1.139457548333919323e+00,3.306025855254289603e+00,2.054083349071625708e+00
5.000000000000000000e+00,1.607978980135500446e+00,1.945685086754970206e+00,1.184359092739001307e+00
4.869620164254471639e+00,1.445763189254370973e+00,1.751377654480911650e+00,1.372687332212066291e+00
5.000000000000000000e+00,1.586688846419439525e+00,2.253742680870990167e+00,1.699338513930585881e+00
4.276662709728423550e+00,1.444789400145651381e+00,2.654982936980513131e+00,1.757286637930545625e+00
4.044898753710720385e+00,1.052339666044271871e+00,2.278647539426428725e+00,1.865931519411124562e+00
4.903955153840692027e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.584180396841963656e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.510774030358016162e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.747015773815253858e+00,1.773363555803558977e+00,1.908149878503950347e+00,1.698049296030209154e+00
5.000000000000000000e+00,1.049418350196793304e+00,1.940853059367553257e+00,1.613088917306227721e+00
4.442314791012483610e+00,1.421220350501069873e+00,2.549437055778528638e+00,1.794743827090272470e+00
4.379146556941259760e+00,1.492710701930767714e+00,2.387425505053728969e+00,1.686366506530783793e+00
4.387217562850944219e+00,1.588932808279126085e+00,3.661902618357093075e+00,1.396730963733503472e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.626996159711888268e+00,2.833341607804208628e+00,1.786284838376502426e+00
4.374265128543769698e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.819913807297880659e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.849262819478205699e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.311122164780930799e+00,1.136849427705885374e+00,1.874126533185371368e+00
4.671797698409734245e+00,1.344648698225534789e+00,2.588726429042597310e+00,2.011346857581254088e+00
4.746297624013618766e+00,1.040763550547568750e+00,1.093055277229938005e+00,1.686747064789243966e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.858457802019235494e+00,1.039524967655207854e+00,2.671889057400488099e+00,2.239010145584605205e+00
5.000000000000000000e+00,2.210972327336139465e+00,3.085541301548568427e+00,1.491057062703579517e+00
4.680023676123973075e+00,2.123678633947953198e+00,2.127806020410091925e+00,1.857295975552641920e+00
4.579379928263820787e+00,2.325887177622669277e+00,1.573295404851442925e+00,1.981010483107507714e+00
5.000000000000000000e+00,1.784165942733229038e+00,2.208262335332180637e+00,1.370092911150509796e+00
5.000000000000000000e+00,1.818665399403454508e+00,2.974434107225727431e+00,1.148810572861147516e+00
4.318647173429268626e+00,1.633117073396506580e+00,1.991960212481620918e+00,1.753575798754570370e+00
