VR,SS,ANX,INT
1.547814864434533089e+00,1.222770168396556612e+00,3.399764523718532772e+00,2.987380394910981618e+00
1.443252157998648144e+00,1.342761535385921023e+00,3.318953354562001579e+00,2.978386970772828768e+00
1.572290557859153282e+00,1.277283217305339225e+00,3.434528203958252313e+00,3.078873902475338653e+00
1.483996967542862810e+00,1.195275001274397342e+00,3.390672344626689316e+00,3.035052905370189791e+00
1.553529227052194983e+00,1.246443118775981684e+00,3.419703474214408345e+00,2.905517525104876597e+00
1.596721133686163974e+00,1.349448668513574479e+00,3.282442937136065275e+00,3.007730314866153609e+00
1.487994557414358043e+00,1.303211562777583543e+00,3.357187432840161190e+00,2.989561191265957429e+00
1.480969140034486653e+00,1.229438020563826672e+00,3.431596936044629675e+00,3.035039884355535289e+00
1.604872461754604185e+00,1.232055465023068397e+00,3.316049141985808912e+00,3.017831702843025266e+00
1.478816333980015330e+00,1.155874863308066658e+00,3.381756396995325709e+00,3.023951128822817136e+00
1.519151403066360428e+00,1.286304230720439978e+00,3.309974138822430856e+00,2.999149862726085747e+00
1.407725494925654353e+00,1.291723846067613479e+00,3.355402246987845949e+00,3.065672773076958180e+00
1.556691807312711173e+00,1.279932533004100259e+00,3.319087281648051224e+00,2.987983704183542422e+00
1.521383535417286881e+00,1.180211452834951658e+00,3.350978266689500273e+00,3.046278113696351930e+00
1.557669060461976729e+00,1.245973835159511101e+00,3.433154842557369690e+00,3.020692288502934364e+00
1.474356939764785768e+00,1.228050240351577171e+00,3.332969297949051946e+00,2.986845005147694465e+00
1.430068627021069183e+00,1.154943983324341339e+00,3.332831594562437161e+00,3.072943473107429657e+00
1.571517852330181375e+00,1.295795105613856579e+00,3.358353693814738250e+00,2.967072496337452847e+00
1.588055298409431604e+00,1.274571927296471285e+00,3.236173191834250673e+00,3.014218394271468870e+00
1.572463055822039379e+00,1.276588005946085014e+00,3.353421681867827520e+00,2.943437669955068170e+00
1.550763214332530726e+00,1.234217593020704218e+00,3.392430492441321110e+00,3.059380327879755335e+00
1.569180665766944260e+00,1.368702529989166861e+00,3.375922145473941871e+00,2.997814762342778661e+00
1.605637019640063556e+00,1.289003186212591245e+00,3.262059599651365716e+00,3.092572715840617992e+00
1.619977006772169048e+00,1.226092881799662138e+00,3.347816203869385276e+00,3.046851021550256000e+00
1.622140793651256852e+00,1.256257768183749013e+00,3.389939928693233906e+00,2.991154454355036130e+00
1.561452475295340037e+00,1.341607457142291571e+00,3.363110082032021442e+00,3.046036119290219002e+00
1.598830268302881663e+00,1.268279336665905088e+00,3.394463156905616064e+00,3.114783777699309475e+00
1.688499861091601328e+00,1.254504625387382166e+00,3.408838535224508970e+00,3.085100957822506818e+00
1.670212107785752353e+00,1.254355830821673790e+00,3.378263847316043567e+00,3.126722694078824194e+00
1.577224630430414942e+00,1.180319931100239472e+00,3.297934863554648377e+00,3.112301307118635840e+00
1.559465542881568023e+00,1.278864269385739938e+00,3.277783138506345395e+00,2.965478178569361578e+00
1.614244221133737334e+00,1.209224915419121693e+00,3.317698753580752502e+00,2.986465403489633186e+00
1.334296053899364898e+00,1.276982495494206171e+00,3.407167153021211092e+00,2.947112787516156462e+00
1.596476422503842363e+00,1.347452993409645527e+00,3.245425590688296502e+00,2.986401639441176314e+00
1.470553808408177066e+00,1.292395305019751195e+00,3.306284081660721075e+00,3.070665008448017819e+00
1.614516044747452694e+00,1.264661550718598093e+00,3.310189857951252979e+00,2.979567084685889267e+00
1.689602119387486834e+00,1.257819237446208938e+00,3.364883365540897842e+00,2.989066811823453573e+00
1.515136649638141542e+00,1.194562862428683925e+00,3.361876547908648316e+00,3.019425536096080442e+00
1.528923621020171320e+00,1.310434726902147462e+00,3.283993471326615232e+00,3.037447963818778796e+00
1.659888320889015390e+00,1.211975632259349567e+00,3.304667501917871508e+00,3.083006706075767323e+00
1.428957641253858490e+00,1.318175353818760387e+00,3.376401837599618982e+00,2.966490601319932807e+00
1.545148616203498637e+00,1.309043899663647537e+00,3.420016742305035606e+00,3.032571041615450547e+00
1.574214586757604284e+00,1.253808839033588640e+00,3.287664696084014349e+00,2.974905186526720868e+00
1.640931231505639687e+00,1.318941665829304943e+00,3.293851763821666889e+00,2.948483540614355913e+00
1.543966366435011617e+00,1.355103539254171707e+00,3.322880560903262115e+00,3.034643862394152514e+00
1.461695641495047271e+00,1.236984328184694615e+00,3.484548029567964278e+00,2.862425066341175661e+00
1.554617812890050299e+00,1.224842682812069983e+00,3.326081768393366556e+00,3.035524154131886032e+00
1.500559537401855659e+00,1.206220314136877025e+00,3.340026276975748054e+00,2.996775752365347323e+00
1.423098991416465786e+00,1.198293954891803459e+00,3.256985982971716265e+00,3.047980325948094649e+00
1.512078637657921387e+00,1.279789408848428955e+00,3.339536832959927537e+00,2.945178349164835563e+00
1.457536730865110153e+00,1.228014346040302573e+00,3.382718401918741069e+00,2.932831568871883565e+00
1.640145129203607111e+00,1.304383999446252052e+00,3.332172464626674380e+00,3.067837190784847401e+00
1.691705256909934896e+00,1.174112137180002957e+00,3.344831187935250583e+00,3.007996456012318021e+00
1.745557537425358907e+00,1.197838270400562122e+00,3.275481046141422770e+00,3.016684228165017245e+00
1.611862684009999436e+00,1.220394174168604406e+00,3.312596034601746009e+00,3.063200056565175800e+00
1.390768967024280212e+00,1.314180015030297799e+00,3.251376632483093054e+00,3.009336844752245721e+00
1.348463123230721816e+00,1.340226651139034608e+00,3.337319695132380026e+00,3.064726890990199237e+00
1.478299487289391090e+00,1.208274447634407167e+00,3.309760890273036882e+00,2.970551530264993634e+00
1.584184058098877967e+00,1.189982491963317512e+00,3.279692861430849149e+00,2.958941614001753706e+00
1.535723820314166321e+00,1.264633335728918562e+00,3.342614560725790440e+00,3.016510984207855905e+00
1.617110102001109384e+00,1.262478088355062145e+00,3.341174866311927172e+00,2.976367115079645131e+00
1.557814398558631686e+00,1.242595872339657959e+00,3.323815285406443110e+00,3.012347073168349709e+00
1.789372022535129725e+00,1.201263121263671518e+00,3.335589607595452755e+00,2.995020128638489876e+00
1.608910475711661903e+00,1.257446279848810411e+00,3.251968841448433345e+00,3.042253313705166828e+00
1.597712584056969476e+00,1.248366643716674940e+00,3.403062297785869994e+00,3.094786745889620327e+00
1.535164994021671392e+00,1.202950650824315959e+00,3.338269869293656988e+00,2.984176410305711347e+00
1.569715588751733559e+00,1.246944062108568785e+00,3.372064936829714199e+00,3.026228569856809880e+00
1.530702412472274787e+00,1.227226843135627021e+00,3.405169149218862934e+00,3.126229929354586989e+00
1.431327388919777288e+00,1.241036294976961329e+00,3.252544242221669712e+00,2.989196197191619664e+00
1.712125467883246044e+00,1.224652734361554307e+00,3.421903791751053081e+00,3.100399056050586744e+00
1.504949753802057533e+00,1.330033728913308622e+00,3.314998279348384091e+00,3.045415269566341010e+00
1.557141955581707204e+00,1.302330092479487389e+00,3.344557368981534218e+00,3.060304684611904857e+00
1.568796766067683590e+00,1.313360698641705460e+00,3.375692454435218259e+00,3.021844287298296905e+00
1.686164010425737825e+00,1.281757026921792164e+00,3.423223254404548666e+00,2.914699254139986095e+00
1.535220121506107205e+00,1.246180480269655222e+00,3.381786733302510672e+00,3.053058222046491021e+00
