VR,SS,ANX,INT
4.580843242989727671e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.599713814763225495e+00,1.599508894277233084e+00,2.742976792001392994e+00
2.259026699653086112e+00,1.664436147039902503e+00,1.840476536578535383e+00,3.446575510086715699e+00
2.005026319392382739e+00,1.723221339913239891e+00,2.139557862547229572e+00,2.800813628242791786e+00
1.735270630311908757e+00,1.188546726961480005e+00,1.108008941011678683e+00,3.323413662284213199e+00
3.949308356947635712e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.991300022482917154e+00,1.301440371086234116e+00,1.802807166677885986e+00,3.790784243144136312e+00
2.768468305579319555e+00,1.236140519309313346e+00,2.955674734361266154e+00,2.925530657202758622e+00
2.183129005154614610e+00,1.248368151136718618e+00,1.696723821121752795e+00,4.121707096857102570e+00
1.176880295907853036e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.472704075192012851e+00,1.366748034520332444e+00,3.306578719881552608e+00,3.034242144989164558e+00
2.301465820224410486e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.140211483328434472e+00,1.459809115254654843e+00,3.640601664261307047e+00
1.096636265218833284e+00,1.452548739174179593e+00,1.827727969840209798e+00,4.371038652123134582e+00
2.059665769387753365e+00,1.230806664830955910e+00,2.554869906404436897e+00,4.395753665054014547e+00
4.861514054986933786e+00,1.631162344327688363e+00,2.268385907087243414e+00,2.896006022623152987e+00
3.818319192283417429e+00,1.485997893581435747e+00,2.988288597860450757e+00,2.635461837372559124e+00
2.503371527224503179e+00,1.292524774534981269e+00,1.926021792060819582e+00,3.352575944670889374e+00
2.910540688367221129e+00,1.552609725810408570e+00,1.222354222154133696e+00,3.480388279075525393e+00
3.229166577016176820e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.157619647070131208e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.476723586856934389e+00,1.382016976353087623e+00,1.585242888979722320e+00,3.004029038792395134e+00
3.351217835549696211e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.143195838817140153e+00,1.348619964359444090e+00,1.665745653053724018e+00,3.435225688781461617e+00
5.000000000000000000e+00,1.582936603672348896e+00,1.973937036659528355e+00,4.324745948683833774e+00
2.310270266944369322e+00,1.154807685140859963e+00,2.310919259826768268e+00,3.282055424835029100e+00
2.268617016869106884e+00,1.271244742821267426e+00,1.371366539523266814e+00,3.873528261808010242e+00
4.185759740505345050e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.869571850590034945e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.613994233686053548e+00,1.353165090415920258e+00,1.109802855100272989e+00,3.631148976693264974e+00
2.574344107763151257e+00,1.028321051574069278e+00,1.386051304228809844e+00,3.356691250817577021e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.397223534145172863e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.036630384617044598e+00,1.133067162454676646e+00,3.610445277410962106e+00
1.951214804964829241e+00,1.417347805774327174e+00,1.904656769944734762e+00,3.229304104188315261e+00
2.943309831521272901e+00,1.529012672414385765e+00,1.787655269431641880e+00,3.246017376472863258e+00
2.195505422432606046e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.225714802354572086e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
