VR,SS,ANX,INT
7.526277181457487586e+00,2.531157616378092445e+00,4.332004286605650734e+00,3.692161707656929082e+00
9.479259094845302158e+00,2.012121123031730185e+00,3.073364917682729569e+00,2.194728623839511172e+00
2.187518725590263280e+00,2.520313380581647777e+00,4.238301748408537684e+00,2.547366652430659517e+00
4.051116200105012943e+00,2.271792530359507012e+00,1.910165511491261459e+00,1.618904961096879092e+00
4.903378820498938140e+00,1.872707017949083896e+00,2.721758142827307658e+00,1.456185421078720399e+00
2.131401082213129072e+00,2.160485176525173134e+00,2.753829978421453717e+00,1.935063661931282653e+00
3.424938938630036400e+00,1.025287561792459279e+00,2.519533057702836309e+00,2.529854290822330043e+00
1.957227601127085270e+00,1.339735536979832720e+00,2.928169371892624273e+00,2.093380055084151703e+00
1.551695485768966876e-01,1.925580802549562653e+00,2.152988036549146056e+00,2.719746488982247801e+00
5.617291493556560766e+00,2.575221176606072859e+00,1.304532193247713412e+00,2.295658609931311211e+00
3.436637719914107603e+00,2.074551759276736629e+00,2.075499612056372012e+00,1.857446452479928789e+00
3.375014277152994069e+00,1.816308428816711285e+00,1.832322586858333047e+00,2.307408353134793977e+00
6.287407791043282401e-01,1.416750171857682705e+00,3.208021319791208192e+00,2.500946536504729423e+00
7.292237573896082736e+00,2.109799296850213057e+00,2.200403967844210218e+00,2.566013637287440474e+00
2.949635293505990852e+00,2.196274255896560668e+00,2.092328226633646704e+00,1.455431990121295538e+00
8.881188411773313085e-01,2.795875886462719784e+00,1.315701719576853668e+00,1.929133688305385119e+00
6.309765975378991421e+00,3.314192579260049065e+00,1.738236272264395144e+00,2.271665204836575747e+00
5.244118849542885208e+00,2.264861070799285336e+00,4.263295416388679371e+00,2.639165914967284365e+00
7.099261061694192243e+00,2.638156527388047845e+00,3.777309633721654514e+00,1.456520053866767750e+00
4.126083347120347966e+00,2.719657622757716720e+00,4.982311072144703701e+00,1.872389084722496877e+00
2.958573795416485908e+00,1.600391832162922245e+00,2.206615005281936437e+00,1.615491250948566826e+00
3.782380254464896563e+00,1.726834240064808235e+00,3.336649048079054047e+00,1.469093240101541742e+00
1.353994807485492835e+00,2.139872243567860988e+00,2.792764700725967497e+00,1.380923800579656913e+00
5.219663406524871263e+00,2.112941651452697300e+00,1.931137086681876891e+00,1.643947404205265306e+00
1.532548139980243196e+00,2.677433064397719331e+00,2.104238120931633205e+00,2.255130659426168638e+00
